
running 1 test
step(A) =   45, err =  4.349692823542790E-01, h_new =  3.767130787642701E-03, n_yes =  27, n_no =   0, h*lambda =  3.293884821665563E+00
step(A) =   46, err =  4.271791251748280E-01, h_new =  3.789551797221788E-03, n_yes =  28, n_no =   0, h*lambda =  3.292185526777097E+00
step(A) =   47, err =  4.242905792583735E-01, h_new =  3.813747902134716E-03, n_yes =  29, n_no =   0, h*lambda =  3.298567850297183E+00
step(A) =   48, err =  4.274049868592745E-01, h_new =  3.832289394395807E-03, n_yes =  30, n_no =   0, h*lambda =  3.306234916786975E+00
step(A) =   49, err =  4.327411889343481E-01, h_new =  3.843931062320657E-03, n_yes =  31, n_no =   0, h*lambda =  3.308770400608201E+00
step(A) =   50, err =  4.354784875719697E-01, h_new =  3.853389318091836E-03, n_yes =  32, n_no =   0, h*lambda =  3.305185144258135E+00
step(A) =   51, err =  4.338299364635274E-01, h_new =  3.866337385609611E-03, n_yes =  33, n_no =   0, h*lambda =  3.299597220826402E+00
step(A) =   52, err =  4.299482582563317E-01, h_new =  3.884671380738679E-03, n_yes =  34, n_no =   0, h*lambda =  3.296854674171938E+00
step(A) =   53, err =  4.273038470190201E-01, h_new =  3.905783683190858E-03, n_yes =  35, n_no =   0, h*lambda =  3.298510698645197E+00
step(A) =   54, err =  4.276130562870016E-01, h_new =  3.925558968985871E-03, n_yes =  36, n_no =   0, h*lambda =  3.302291579858145E+00
step(A) =   55, err =  4.299022185899021E-01, h_new =  3.941969018536358E-03, n_yes =  37, n_no =   0, h*lambda =  3.304705624712692E+00
step(A) =   56, err =  4.318278667904008E-01, h_new =  3.956286103098130E-03, n_yes =  38, n_no =   0, h*lambda =  3.304077414865688E+00
step(A) =   57, err =  4.318055393701926E-01, h_new =  3.971399995522944E-03, n_yes =  39, n_no =   0, h*lambda =  3.301511376599596E+00
step(A) =   58, err =  4.301433302687908E-01, h_new =  3.989178098074951E-03, n_yes =  40, n_no =   0, h*lambda =  3.299427218684884E+00
step(A) =   59, err =  4.283980039979715E-01, h_new =  4.009187785387251E-03, n_yes =  41, n_no =   0, h*lambda =  3.299349782509462E+00
step(A) =   60, err =  4.278528298765875E-01, h_new =  4.029514807417224E-03, n_yes =  42, n_no =   0, h*lambda =  3.300883653774126E+00
step(A) =   61, err =  4.285629478103627E-01, h_new =  4.048597068577484E-03, n_yes =  43, n_no =   0, h*lambda =  3.302431999139033E+00
step(A) =   62, err =  4.295742454421483E-01, h_new =  4.066409866813211E-03, n_yes =  44, n_no =   0, h*lambda =  3.302719490357139E+00
step(A) =   63, err =  4.298863519096914E-01, h_new =  4.084181818148867E-03, n_yes =  45, n_no =   0, h*lambda =  3.301742927630545E+00
step(A) =   64, err =  4.292626614580080E-01, h_new =  4.103163227947939E-03, n_yes =  46, n_no =   0, h*lambda =  3.300508019483630E+00
step(A) =   65, err =  4.282627026618659E-01, h_new =  4.123628047631762E-03, n_yes =  47, n_no =   0, h*lambda =  3.300014559492133E+00
step(A) =   66, err =  4.276241233632742E-01, h_new =  4.144859665351147E-03, n_yes =  48, n_no =   0, h*lambda =  3.300460431133917E+00
step(A) =   67, err =  4.276369328988832E-01, h_new =  4.165930719970995E-03, n_yes =  49, n_no =   0, h*lambda =  3.301252668086431E+00
step(A) =   68, err =  4.280092024191934E-01, h_new =  4.186494575650347E-03, n_yes =  50, n_no =   0, h*lambda =  3.301645687404880E+00
step(A) =   69, err =  4.282204831856980E-01, h_new =  4.206953407913752E-03, n_yes =  51, n_no =   0, h*lambda =  3.301367652405577E+00
step(A) =   70, err =  4.279837977260450E-01, h_new =  4.227993036622997E-03, n_yes =  52, n_no =   0, h*lambda =  3.300738226216514E+00
step(A) =   71, err =  4.274266185960388E-01, h_new =  4.249985025858273E-03, n_yes =  53, n_no =   0, h*lambda =  3.300289463936676E+00
step(A) =   72, err =  4.269015487139072E-01, h_new =  4.272761559292557E-03, n_yes =  54, n_no =   0, h*lambda =  3.300296852304890E+00
step(A) =   73, err =  4.266570641946131E-01, h_new =  4.295867290392412E-03, n_yes =  55, n_no =   0, h*lambda =  3.300613643147131E+00
step(A) =   74, err =  4.266619080988266E-01, h_new =  4.318990665846379E-03, n_yes =  56, n_no =   0, h*lambda =  3.300876408473557E+00
step(A) =   75, err =  4.266887927136759E-01, h_new =  4.342193967280109E-03, n_yes =  57, n_no =   0, h*lambda =  3.300840114994215E+00
step(A) =   76, err =  4.265362055845158E-01, h_new =  4.365798379295929E-03, n_yes =  58, n_no =   0, h*lambda =  3.300548680185818E+00
step(A) =   77, err =  4.261836256266188E-01, h_new =  4.390085430569987E-03, n_yes =  59, n_no =   0, h*lambda =  3.300239345766098E+00
