
running dopri5.f test
step(A) =   45, err =  4.349692823545975E-01, h_new =  3.767130787642624E-03, n_yes =  27, n_no =   0, h*lambda =  3.293884821666195E+00
step(A) =   46, err =  4.271791251749550E-01, h_new =  3.789551797221630E-03, n_yes =  28, n_no =   0, h*lambda =  3.292185526777186E+00
step(A) =   47, err =  4.242905792585751E-01, h_new =  3.813747902134294E-03, n_yes =  29, n_no =   0, h*lambda =  3.298567850297265E+00
step(A) =   48, err =  4.274049868596863E-01, h_new =  3.832289394394829E-03, n_yes =  30, n_no =   0, h*lambda =  3.306234916786778E+00
step(A) =   49, err =  4.327411889339119E-01, h_new =  3.843931062320482E-03, n_yes =  31, n_no =   0, h*lambda =  3.308770400607540E+00
step(A) =   50, err =  4.354784875714566E-01, h_new =  3.853389318092278E-03, n_yes =  32, n_no =   0, h*lambda =  3.305185144258213E+00
step(A) =   51, err =  4.338299364634911E-01, h_new =  3.866337385609927E-03, n_yes =  33, n_no =   0, h*lambda =  3.299597220826963E+00
step(A) =   52, err =  4.299482582564692E-01, h_new =  3.884671380738773E-03, n_yes =  34, n_no =   0, h*lambda =  3.296854674172394E+00
step(A) =   53, err =  4.273038470191889E-01, h_new =  3.905783683190740E-03, n_yes =  35, n_no =   0, h*lambda =  3.298510698645459E+00
step(A) =   54, err =  4.276130562871120E-01, h_new =  3.925558968985641E-03, n_yes =  36, n_no =   0, h*lambda =  3.302291579858245E+00
step(A) =   55, err =  4.299022185899039E-01, h_new =  3.941969018536166E-03, n_yes =  37, n_no =   0, h*lambda =  3.304705624712688E+00
step(A) =   56, err =  4.318278667904522E-01, h_new =  3.956286103097857E-03, n_yes =  38, n_no =   0, h*lambda =  3.304077414865707E+00
step(A) =   57, err =  4.318055393702508E-01, h_new =  3.971399995522599E-03, n_yes =  39, n_no =   0, h*lambda =  3.301511376599565E+00
step(A) =   58, err =  4.301433302689515E-01, h_new =  3.989178098074373E-03, n_yes =  40, n_no =   0, h*lambda =  3.299427218684822E+00
step(A) =   59, err =  4.283980039980445E-01, h_new =  4.009187785386613E-03, n_yes =  41, n_no =   0, h*lambda =  3.299349782509169E+00
step(A) =   60, err =  4.278528298765437E-01, h_new =  4.029514807416680E-03, n_yes =  42, n_no =   0, h*lambda =  3.300883653773780E+00
step(A) =   61, err =  4.285629478102378E-01, h_new =  4.048597068577122E-03, n_yes =  43, n_no =   0, h*lambda =  3.302431999138754E+00
step(A) =   62, err =  4.295742454422359E-01, h_new =  4.066409866812659E-03, n_yes =  44, n_no =   0, h*lambda =  3.302719490357073E+00
step(A) =   63, err =  4.298863519095621E-01, h_new =  4.084181818148554E-03, n_yes =  45, n_no =   0, h*lambda =  3.301742927630345E+00
step(A) =   64, err =  4.292626614581955E-01, h_new =  4.103163227947270E-03, n_yes =  46, n_no =   0, h*lambda =  3.300508019483566E+00
step(A) =   65, err =  4.282627026612512E-01, h_new =  4.123628047632168E-03, n_yes =  47, n_no =   0, h*lambda =  3.300014559491820E+00
step(A) =   66, err =  4.276241233630349E-01, h_new =  4.144859665351713E-03, n_yes =  48, n_no =   0, h*lambda =  3.300460431134471E+00
step(A) =   67, err =  4.276369328994878E-01, h_new =  4.165930719970470E-03, n_yes =  49, n_no =   0, h*lambda =  3.301252668087124E+00
step(A) =   68, err =  4.280092024193676E-01, h_new =  4.186494575649766E-03, n_yes =  50, n_no =   0, h*lambda =  3.301645687404717E+00
step(A) =   69, err =  4.282204831855134E-01, h_new =  4.206953407913545E-03, n_yes =  51, n_no =   0, h*lambda =  3.301367652405347E+00
step(A) =   70, err =  4.279837977259472E-01, h_new =  4.227993036622881E-03, n_yes =  52, n_no =   0, h*lambda =  3.300738226216595E+00
step(A) =   71, err =  4.274266185959482E-01, h_new =  4.249985025858271E-03, n_yes =  53, n_no =   0, h*lambda =  3.300289463936793E+00
step(A) =   72, err =  4.269015487143270E-01, h_new =  4.272761559291803E-03, n_yes =  54, n_no =   0, h*lambda =  3.300296852305110E+00
step(A) =   73, err =  4.266570641942520E-01, h_new =  4.295867290392442E-03, n_yes =  55, n_no =   0, h*lambda =  3.300613643146745E+00
